# %ECSV 1.0
# ---
# datatype:
# - {name: name, datatype: string}
# - {name: sheetn, datatype: string}
# - {name: RA hr, datatype: string}
# - {name: RA min, datatype: string}
# - {name: RA sec, datatype: string}
# - {name: Dec deg, datatype: string}
# - {name: Dec min, datatype: string}
# - {name: Dec sec, datatype: string}
# - {name: pmRA, datatype: float64}
# - {name: pmDEC, datatype: float64}
# - {name: Vmag, datatype: float64}
# - {name: texp, datatype: float64}
# - {name: I2, datatype: string}
# - {name: expcount, datatype: float64}
# - {name: decker, datatype: string}
# - {name: lastobs, datatype: float64}
# - {name: B-V, datatype: float64}
# - {name: cad, datatype: float64}
# - {name: pri, datatype: int64}
# - {name: nexp, datatype: int64}
# - {name: binning, datatype: string}
# - {name: night_cad, datatype: float64}
# - {name: night_obs, datatype: int64}
# - {name: Template, datatype: string}
# - {name: Bstar, datatype: string}
# - {name: do, datatype: string}
# - {name: nobs, datatype: int64}
# - {name: totobs, datatype: int64}
# - {name: ra, datatype: float64}
# - {name: dec, datatype: float64}
# - {name: moon, datatype: float64}
# - {name: only_template, datatype: string}
# schema: astropy-2.0
name sheetn "RA hr" "RA min" "RA sec" "Dec deg" "Dec min" "Dec sec" pmRA pmDEC Vmag texp I2 expcount decker lastobs B-V cad pri nexp binning night_cad night_obs Template Bstar do nobs totobs ra dec moon only_template
2782124199093848320 2023B_A012 0 38 33.3800 16 6 32.3000 194.20639 -11.484864 12.51 1051.0 N 1000000000.0 B 0.0 0.72 0.7 1 3 1,1 -1.0 0 Y N "" 0 3 0.16823374104077674 0.2811546043900855 0.6666666666666666 N
2537110539788663040 2023B_A012 0 52 13.5600 0 21 35.0000 9.238226 -7.667454 12.74 1488.0 N 1000000000.0 B 0.0 0.76 0.7 1 2 1,1 -1.0 0 Y N "" 0 4 0.22787891378663963 0.006278337170368491 0.6 N
2565656988382292224 2023B_A012 1 33 38.4800 6 54 24.5000 7.16 -28.42 11.85 1260.0 N 1000000000.0 B 0.0 0.71 0.7 1 2 1,1 -1.0 0 Y N "" 0 2 0.40858739565604585 0.12054649773948056 0.6666666666666666 N
5037493134897807104 2023B_A012 1 41 58.0077 -26 6 26.1560 53.327 -18.254 11.24 1280.0 N 1000000000.0 B 0.0 0.88 0.7 2 3 1,1 -1.0 0 Y N "" 0 1 0.4449140751140228 -0.4556577426369511 0.7333333333333333 N
3285861882243367552 2023B_A012 4 31 24.9619 6 43 25.0660 9.059 -2.097 12.54 1701.0 N 1000000000.0 B 0.0 1.23 0.7 2 2 1,1 -1.0 0 Y N "" 0 3 1.1842758488201315 0.11734947148959271 0.6 N
3222091960178458880 2023B_A012 5 25 51.8734 1 13 9.7300 -1.125 -6.732 11.78 1264.0 N 1000000000.0 B 0.0 0.98 0.7 2 3 1,1 -1.0 0 Y N "" 0 1 1.4218523573462427 0.021282011603769635 0.8 N
5608885860158014464 2023B_A012 6 58 1.8420 -28 43 32.7220 4.27 -9.242 11.41 1143.0 N 1000000000.0 B 0.0 0.67 0.7 2 3 1,1 -1.0 0 Y N "" 0 1 1.8240030223541648 -0.5013590242637709 0.8 N
5641814446704129920 2023B_A012 8 52 53.5523 -29 35 54.0430 -5.556 3.095 12.32 1658.0 N 1000000000.0 B 0.0 0.43 0.7 3 2 1,1 -1.0 0 Y N "" 0 2 2.3251823383066905 -0.5165885782393378 0.6666666666666666 N
3836933635454291968 2023B_A012 10 7 30.7500 3 48 35.7000 -7.0945168 -5.8731556 12.19 962.0 N 1000000000.0 B 0.0 1.17 0.7 1 3 1,1 -1.0 0 Y N "" 0 3 2.6507733430055125 0.06649559005994063 0.6666666666666666 N
5461446814067672832 2023B_A012 10 26 16.3359 -29 38 15.1760 -0.101 2.445 12.84 1732.0 N 1000000000.0 B 0.0 0.86 0.7 2 2 1,1 -1.0 0 Y N "" 0 3 2.7326282595431115 -0.5172728103318981 0.6 N
